kernel,C,seq_len,final_acc,precision,recall,f1_score,training_time_s
rbf,1.0,2,0.9862174578866769,0.9857252025186252,0.9834298518090454,0.9844901169306242,0.44
rbf,1.0,4,0.9933639612046963,0.9947372789140738,0.9917478354978355,0.9931940527869504,0.14
rbf,1.0,8,0.9959183673469387,0.9978213507625272,0.9964285714285714,0.997107346945201,0.05
rbf,1.0,10,0.9961685823754789,0.9965114929185048,0.9946033001808319,0.9955359241048709,0.04
rbf,1.0,20,0.9974489795918368,0.9986338797814207,0.9977678571428572,0.9981939922599669,0.02
rbf,10.0,2,0.9897907095456866,0.987820254123716,0.9873686600520464,0.9875498950186598,0.28
rbf,10.0,4,0.9974476773864216,0.9969087796982269,0.9953192640692641,0.996091967452714,0.09
rbf,10.0,8,0.9989795918367347,0.9975,0.9982876712328768,0.9978846120637552,0.03
rbf,10.0,10,0.9974457215836526,0.9957983193277311,0.9961467378038149,0.9959441716580983,0.02
linear,1.0,2,0.9461459928534967,0.9210764360929478,0.9179170102731984,0.9192629194145154,3.32
linear,1.0,4,0.968861664114344,0.9475431522879753,0.948454847930977,0.9479408889100979,1.27
linear,1.0,8,0.9928571428571429,0.9851660401002507,0.9888331702544031,0.9866806526771524,0.27
linear,1.0,10,0.9833971902937421,0.9661821497532719,0.9675034401731755,0.9668380434075986,0.21
linear,1.0,20,0.9872448979591837,0.9750930136420008,0.9823820575975749,0.9786757645873668,0.11
linear,10.0,2,0.9591628381827463,0.9412263813974222,0.9375497394471496,0.9391578640022114,2.75
linear,10.0,4,0.9836651352730985,0.9758165555224877,0.9727497682498191,0.9741807019658066,0.77
linear,10.0,8,0.9928571428571429,0.988508126091075,0.9903460029316195,0.9893897432339582,0.29
linear,10.0,10,0.9897828863346104,0.9813430476085778,0.9822912960409365,0.9818115312527949,0.22
linear,10.0,20,0.9897959183673469,0.9794745484400658,0.9886320575975749,0.9839005338996046,0.1
